flow_id,timestamp,src_ip,dst_ip,src_port,dst_port,protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,SYN Flag Count,URG Flag Count,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
FL-00001,10:01:00,192.168.1.102,142.250.190.46,49152,443,TCP,4.0,2.0,0.0,37.0,0.0,31.0,18.5,17.67766953,0.0,0.0,0.0,9250000.0,500000.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,0.0,500000.0,0.0,31.0,22.66666667,14.43375673,208.3333333,1.0,0.0,34.0,18.5,0.0,2.0,37.0,0.0,0.0,60.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL-00002,10:02:00,192.168.1.105,8.8.8.8,53120,53,UDP,142377.0,46.0,62.0,1325.0,105855.0,570.0,28.80434783,111.4072847,4344.0,1707.3387100000002,846.1726550000003,752790.1276,758.5494848,1330.626168,5048.982697,23198.0,0.0,142377.0,3163.933333,7552.916858,23792.0,0.0,119204.0,1954.163934,6058.842404,23865.0,4.0,0.0,1168.0,1992.0,323.0858917,435.4635931,4344.0,983.3027523,1052.39205,1107529.028,0.0,0.0,992.4074074,28.80434783,1707.3387100000002,46.0,1325.0,62.0,105855.0,29200.0,61.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL-00003,10:03:00,192.168.1.108,104.244.42.1,51200,443,TCP,118873.0,23.0,28.0,1169.0,45025.0,570.0,50.82608696,156.13736730000005,2896.0,1608.035714,902.027366,388599.5979,429.0293002,2377.46,6838.420713,23435.0,3.0,118873.0,5403.318182,9768.511157,24311.0,49.0,95541.0,3538.555556000001,8193.060024,24168.0,3.0,0.0,744.0,904.0,193.483802,235.5454981,2896.0,888.3461537999997,1028.323762,1057449.76,0.0,0.0,905.7647059,50.82608696,1608.035714,23.0,1169.0,28.0,45025.0,29200.0,61.0,4.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL-00004,10:04:00,172.16.0.2,192.168.10.50,40001,80,TCP,8452090.0,4.0,0.0,24.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.839534364,0.473255727,2817363.333,4879135.741,8451304.0,353.0,8452090.0,2817363.333,4879135.741,8451304.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.473255727,0.0,6.0,6.0,0.0,0.0,0.0,0.0,7.5,6.0,0.0,4.0,24.0,0.0,0.0,256.0,-1.0,3.0,20.0,786.0,0.0,786.0,786.0,8451304.0,0.0,8451304.0,8451304.0
FL-00005,10:05:00,192.168.1.110,151.101.1.69,52310,443,TCP,143577.0,43.0,55.0,1301.0,107289.0,570.0,30.25581395,115.178969,4344.0,1950.709091,928.2303887,756318.9090000001,682.5605772999999,1480.175258,5316.455522,23220.0,2.0,143530.0,3417.3809520000004,7846.824009,23823.0,2.0,120357.0,2228.833333,6441.592862,23889.0,2.0,0.0,1120.0,1768.0,299.4908655,383.0697117,4344.0,1096.868687,1183.665309,1401063.564,0.0,0.0,1108.061224,30.25581395,1950.709091,43.0,1301.0,55.0,107289.0,29200.0,61.0,26.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL-00006,10:06:00,192.168.1.112,192.168.1.1,49200,80,TCP,143745.0,49.0,59.0,1331.0,110185.0,570.0,27.16326531,108.0671757,4344.0,1867.542373,928.8619348,775790.4623,751.3304811,1343.411215,5112.820617,24181.0,2.0,143726.0,2994.291667,7449.818687000001,24248.0,2.0,120164.0,2071.793103,6233.858327,24616.0,2.0,0.0,1252.0,1896.0,340.8814220000001,410.4490591,4344.0,1023.082569,1147.95835,1317808.373,0.0,0.0,1032.555556,27.16326531,1867.542373,49.0,1331.0,59.0,110185.0,29200.0,61.0,31.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL-00007,10:07:00,192.168.1.115,142.250.190.46,50110,443,TCP,120792.0,1.0,1.0,48.0,100.0,48.0,48.0,0.0,100.0,100.0,0.0,1225.246705,16.55738791,120792.0,0.0,120792.0,120792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,8.278693953,8.278693953,100.0,65.33333333,30.022214,901.3333332999996,0.0,0.0,98.0,48.0,100.0,1.0,48.0,1.0,100.0,-1.0,-1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL-00008,10:08:00,172.16.0.5,192.168.10.50,40002,80,TCP,6438204.0,5.0,0.0,30.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,4.659684595,0.7766140990000001,1609551.0,3218314.002,6437022.0,248.0,6438204.0,1609551.0,3218314.002,6437022.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.7766140990000001,0.0,6.0,6.0,0.0,0.0,0.0,0.0,7.2,6.0,0.0,5.0,30.0,0.0,0.0,256.0,-1.0,4.0,20.0,1182.0,0.0,1182.0,1182.0,6437022.0,0.0,6437022.0,6437022.0
FL-00009,10:09:00,172.16.0.8,192.168.10.50,40003,80,TCP,6996959.0,4.0,0.0,24.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,3.430061545,0.571676924,2332319.667,4038954.846,6996103.0,331.0,6996959.0,2332319.667,4038954.846,6996103.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.571676924,0.0,6.0,6.0,0.0,0.0,0.0,0.0,7.5,6.0,0.0,4.0,24.0,0.0,0.0,256.0,-1.0,3.0,20.0,856.0,0.0,856.0,856.0,6996103.0,0.0,6996103.0,6996103.0
FL-00010,10:10:00,172.16.0.12,192.168.10.50,40004,80,TCP,6066574.0,4.0,0.0,24.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,3.956104384,0.659350731,2022191.333,3501531.817,6065412.0,373.0,6066574.0,2022191.333,3501531.817,6065412.0,373.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.659350731,0.0,6.0,6.0,0.0,0.0,0.0,0.0,7.5,6.0,0.0,4.0,24.0,0.0,0.0,256.0,-1.0,3.0,20.0,1162.0,0.0,1162.0,1162.0,6065412.0,0.0,6065412.0,6065412.0
FL-00011,10:11:00,192.168.1.120,8.8.4.4,53240,53,UDP,50906.0,1.0,1.0,55.0,83.0,55.0,55.0,0.0,83.0,83.0,0.0,2710.878875,39.28809963,50906.0,0.0,50906.0,50906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,32.0,19.64404982,19.64404982,83.0,64.33333333,16.16580754,261.3333333,0.0,0.0,96.5,55.0,83.0,1.0,55.0,1.0,83.0,-1.0,-1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL-00012,10:12:00,192.168.1.122,104.244.42.1,54100,443,TCP,23595.0,1.0,1.0,77.0,159.0,77.0,77.0,0.0,159.0,159.0,0.0,10002.11909,84.76372113,23595.0,0.0,23595.0,23595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,42.38186056,42.38186056,159.0,104.3333333,47.34272207,2241.333333,0.0,0.0,156.5,77.0,159.0,1.0,77.0,1.0,159.0,-1.0,-1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL-00013,10:13:00,192.168.1.125,142.250.190.46,49330,443,TCP,61017.0,4.0,2.0,172.0,198.0,43.0,43.0,0.0,99.0,99.0,0.0,6063.883836,98.33325139,12203.4,21224.94332,49048.0,4.0,49099.0,16366.33333,28303.16174,49048.0,4.0,48.0,48.0,0.0,48.0,48.0,0.0,104.0,40.0,65.55550093,32.77775046,99.0,59.0,27.32520204,746.6666667000003,0.0,0.0,68.83333333,43.0,99.0,4.0,172.0,2.0,198.0,-1.0,-1.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL-00014,10:14:00,192.168.1.128,151.101.1.69,51990,443,TCP,196.0,2.0,2.0,76.0,140.0,38.0,38.0,0.0,70.0,70.0,0.0,1102040.816,20408.16327,65.33333333,72.56950691,145.0,3.0,3.0,3.0,0.0,3.0,3.0,48.0,48.0,0.0,48.0,48.0,0.0,64.0,64.0,10204.08163,10204.08163,70.0,50.8,17.52712184,307.2,0.0,0.0,63.5,38.0,70.0,2.0,76.0,2.0,140.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL-00015,10:15:00,172.16.0.15,192.168.10.50,40005,80,TCP,5010694.0,4.0,0.0,24.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,4.789755671,0.798292612,1670231.333,2892319.315,5009994.0,227.0,5010694.0,1670231.333,2892319.315,5009994.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.798292612,0.0,6.0,6.0,0.0,0.0,0.0,0.0,7.5,6.0,0.0,4.0,24.0,0.0,0.0,256.0,-1.0,3.0,20.0,700.0,0.0,700.0,700.0,5009994.0,0.0,5009994.0,5009994.0
FL-00016,10:16:00,172.16.0.18,192.168.10.50,40006,80,TCP,4997053.0,4.0,0.0,24.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,4.8028307880000005,0.800471798,1665684.333,2884366.604,4996264.0,247.0,4997053.0,1665684.333,2884366.604,4996264.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.800471798,0.0,6.0,6.0,0.0,0.0,0.0,0.0,7.5,6.0,0.0,4.0,24.0,0.0,0.0,256.0,-1.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL-00017,10:17:00,192.168.1.130,192.168.1.1,49450,80,TCP,209.0,2.0,2.0,64.0,198.0,32.0,32.0,0.0,99.0,99.0,0.0,1253588.517,19138.75598,69.66666667,37.5277675,113.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,0.0,40.0,40.0,9569.37799,9569.37799,99.0,58.8,36.69741135,1346.7,0.0,0.0,73.5,32.0,99.0,2.0,64.0,2.0,198.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL-00018,10:18:00,192.168.1.132,142.250.190.46,50320,443,TCP,196.0,2.0,2.0,82.0,146.0,41.0,41.0,0.0,73.0,73.0,0.0,1163265.306,20408.16327,65.33333333,72.56950691,145.0,3.0,3.0,3.0,0.0,3.0,3.0,48.0,48.0,0.0,48.0,48.0,0.0,40.0,40.0,10204.08163,10204.08163,73.0,53.8,17.52712184,307.2,0.0,0.0,67.25,41.0,73.0,2.0,82.0,2.0,146.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL-00019,10:13:00,192.168.1.125,142.250.190.46,49330,443,TCP,61017.0,4.0,2.0,172.0,198.0,43.0,43.0,0.0,99.0,99.0,0.0,6063.883836,98.33325139,12203.4,21224.94332,49048.0,4.0,49099.0,16366.33333,28303.16174,49048.0,4.0,48.0,48.0,0.0,48.0,48.0,0.0,104.0,40.0,65.55550093,32.77775046,99.0,59.0,27.32520204,746.6666667000003,0.0,0.0,68.83333333,43.0,99.0,4.0,172.0,2.0,198.0,-1.0,-1.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL-00020,10:20:00,192.168.1.140,104.244.42.1,52800,443,TCP,5900543.0,8.0,5.0,372.0,3631.0,191.0,46.5,71.87687886,1891.0,726.2,886.8146367999999,678.4121393999999,2.203187063,491711.9167,1550443.785,5412143.0,3.0,5900543.0,842934.7143,2016469.958,5412143.0,3.0,261707.0,65426.75,73698.78989,132168.0,217.0,0.0,172.0,112.0,1.355807423,0.847379639,1891.0,285.9285713999999,600.7356342,360883.3022,0.0,0.0,307.9230769,46.5,726.2,8.0,372.0,5.0,3631.0,8192.0,237.0,7.0,20.0,488397.0,0.0,488397.0,488397.0,5412143.0,0.0,5412143.0,5412143.0ssss
