Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
4,2,0,37,0,31,6,18.5,17.67766953,0,0,0.0,0.0,9250000.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,1,0,0,0,40,0,500000.0,0.0,6,31,22.66666667,14.43375673,208.33333330000002,0,1,0,0,1,0,0,0,0,34.0,18.5,0.0,40,0,0,0,0,0,0,2,37,0,0,60,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
142377,46,62,1325,105855,570,0,28.80434783,111.4072847,4344,0,1707.3387100000002,846.1726550000003,752790.1276,758.5494848,1330.626168,5048.9826969999995,23198,0,142377,3163.933333,7552.916858,23792,0,119204,1954.163934,6058.842404,23865,4,0,0,0,0,1168,1992,323.0858917,435.46359309999997,0,4344,983.3027523,1052.39205,1107529.028,0,0,0,1,0,0,0,0,1,992.4074073999999,28.80434783,1707.3387100000002,1168,0,0,0,0,0,0,46,1325,62,105855,29200,61,30,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
118873,23,28,1169,45025,570,0,50.82608696,156.13736730000005,2896,0,1608.035714,902.027366,388599.5979,429.0293002,2377.46,6838.4207129999995,23435,3,118873,5403.318182,9768.511156999999,24311,49,95541,3538.555556000001,8193.060024,24168,3,0,0,0,0,744,904,193.483802,235.5454981,0,2896,888.3461537999997,1028.323762,1057449.76,0,0,0,1,0,0,0,0,1,905.7647059000001,50.82608696,1608.035714,744,0,0,0,0,0,0,23,1169,28,45025,29200,61,4,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
143577,43,55,1301,107289,570,0,30.25581395,115.178969,4344,0,1950.709091,928.2303887,756318.9090000001,682.5605772999999,1480.175258,5316.455522,23220,2,143530,3417.3809520000004,7846.824009,23823,2,120357,2228.833333,6441.5928619999995,23889,2,0,0,0,0,1120,1768,299.4908655,383.0697117,0,4344,1096.868687,1183.665309,1401063.564,0,0,0,1,0,0,0,0,1,1108.061224,30.25581395,1950.709091,1120,0,0,0,0,0,0,43,1301,55,107289,29200,61,26,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
143745,49,59,1331,110185,570,0,27.16326531,108.06717569999999,4344,0,1867.542373,928.8619348,775790.4623,751.3304811,1343.411215,5112.820617,24181,2,143726,2994.291667,7449.818687000001,24248,2,120164,2071.793103,6233.858327,24616,2,0,0,0,0,1252,1896,340.8814220000001,410.4490591,0,4344,1023.0825689999999,1147.95835,1317808.373,0,0,0,1,0,0,0,0,1,1032.555556,27.16326531,1867.542373,1252,0,0,0,0,0,0,49,1331,59,110185,29200,61,31,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
120792,1,1,48,100,48,48,48.0,0.0,100,100,100.0,0.0,1225.246705,16.55738791,120792.0,0.0,120792,120792,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,8.278693953,8.278693953,48,100,65.33333333,30.022214,901.3333332999997,0,0,0,0,0,0,0,0,1,98.0,48.0,100.0,32,0,0,0,0,0,0,1,48,1,100,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
50906,1,1,55,83,55,55,55.0,0.0,83,83,83.0,0.0,2710.878875,39.28809963,50906.0,0.0,50906,50906,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,19.64404982,19.64404982,55,83,64.33333333,16.16580754,261.3333333,0,0,0,0,0,0,0,0,1,96.5,55.0,83.0,20,0,0,0,0,0,0,1,55,1,83,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
23595,1,1,77,159,77,77,77.0,0.0,159,159,159.0,0.0,10002.11909,84.76372113,23595.0,0.0,23595,23595,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,42.38186056,42.38186056,77,159,104.33333329999999,47.34272207,2241.333333,0,0,0,0,0,0,0,0,1,156.5,77.0,159.0,20,0,0,0,0,0,0,1,77,1,159,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
61017,4,2,172,198,43,43,43.0,0.0,99,99,99.0,0.0,6063.883836,98.33325139,12203.4,21224.94332,49048,4,49099,16366.333330000001,28303.161739999996,49048,4,48,48.0,0.0,48,48,0,0,0,0,104,40,65.55550093,32.77775046,43,99,59.0,27.32520204,746.6666667000003,0,0,0,0,0,0,0,0,0,68.83333333,43.0,99.0,104,0,0,0,0,0,0,4,172,2,198,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
196,2,2,76,140,38,38,38.0,0.0,70,70,70.0,0.0,1102040.8159999999,20408.163269999997,65.33333333,72.56950691,145,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,64,64,10204.08163,10204.08163,38,70,50.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,63.5,38.0,70.0,64,0,0,0,0,0,0,2,76,2,140,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
